,Right Mass,,Left Mass,
t,x,y,x,y
16.483,0.112,3.61E-03,3.54E-02,2.54E-04
16.533,0.103,2.43E-03,2.95E-02,-5.96E-04
16.583,9.16E-02,1.63E-03,2.34E-02,-6.84E-04
16.634,7.77E-02,-1.59E-04,1.65E-02,-8.20E-04
16.684,6.28E-02,-9.57E-04,9.24E-03,-9.58E-04
16.735,4.55E-02,-1.80E-03,2.10E-03,-1.18E-03
16.785,2.70E-02,-2.42E-03,-5.43E-03,-1.54E-03
16.835,8.35E-03,-2.91E-03,-1.28E-02,-1.61E-03
16.886,-1.12E-02,-2.76E-03,-1.93E-02,-1.65E-03
16.936,-2.99E-02,-2.63E-03,-2.57E-02,-1.88E-03
16.987,-4.72E-02,-1.69E-03,-3.15E-02,-1.76E-03
17.037,-6.48E-02,-8.49E-04,-3.64E-02,-1.61E-03
17.087,-7.92E-02,3.56E-05,-4.06E-02,-1.63E-03
17.138,-9.24E-02,1.17E-03,-4.38E-02,-1.82E-03
17.188,-0.104,2.07E-03,-4.58E-02,-1.62E-03
17.239,-0.112,3.26E-03,-4.68E-02,-1.47E-03
17.289,-0.119,3.69E-03,-4.69E-02,-1.67E-03
17.339,-0.122,4.29E-03,-4.61E-02,-1.72E-03
17.39,-0.123,4.48E-03,-4.40E-02,-1.66E-03
17.44,-0.12,4.06E-03,-4.07E-02,-1.87E-03
17.491,-0.115,3.47E-03,-3.63E-02,-1.81E-03
17.541,-0.107,2.31E-03,-3.14E-02,-2.04E-03
17.591,-9.58E-02,1.61E-03,-2.59E-02,-1.77E-03
17.642,-8.30E-02,5.91E-04,-1.97E-02,-1.83E-03
17.692,-6.85E-02,-4.47E-04,-1.28E-02,-1.96E-03
17.743,-5.21E-02,-1.05E-03,-6.47E-03,-1.86E-03
17.793,-3.36E-02,-2.12E-03,5.74E-04,-1.77E-03
17.843,-1.47E-02,-2.48E-03,6.84E-03,-1.57E-03
17.894,3.72E-03,-2.71E-03,1.38E-02,-1.53E-03
17.944,2.30E-02,-2.08E-03,2.00E-02,-1.34E-03
17.995,4.16E-02,-1.33E-03,2.57E-02,-9.78E-04
18.045,5.94E-02,-1.03E-03,3.08E-02,-7.21E-04
18.095,7.48E-02,-2.66E-04,3.52E-02,-2.55E-04
18.146,8.97E-02,1.19E-03,3.88E-02,1.09E-04
18.196,0.102,2.13E-03,4.17E-02,-5.51E-05
18.247,0.111,3.08E-03,4.35E-02,-1.53E-04
18.297,0.118,4.03E-03,4.39E-02,-2.74E-04
18.348,0.121,4.28E-03,4.38E-02,-3.09E-04
18.398,0.122,4.44E-03,4.28E-02,-2.94E-04
18.448,0.121,4.29E-03,4.09E-02,-5.34E-04
18.499,0.116,4.01E-03,3.76E-02,-6.14E-04
18.549,0.108,3.05E-03,3.37E-02,-8.16E-04
18.6,9.72E-02,2.14E-03,2.90E-02,-1.06E-03
18.65,8.40E-02,8.65E-04,2.36E-02,-8.83E-04
18.7,6.89E-02,-2.08E-04,1.76E-02,-1.14E-03
18.751,5.19E-02,-7.51E-04,1.16E-02,-1.73E-03
18.801,3.51E-02,-1.95E-03,4.97E-03,-1.81E-03
18.852,1.54E-02,-2.36E-03,-1.33E-03,-1.98E-03
18.902,-5.01E-03,-2.75E-03,-7.71E-03,-2.09E-03
18.952,-2.34E-02,-2.69E-03,-1.42E-02,-2.06E-03
19.003,-4.20E-02,-1.74E-03,-2.00E-02,-2.04E-03
19.053,-5.93E-02,-6.81E-04,-2.56E-02,-2.04E-03
19.104,-7.47E-02,-2.06E-04,-3.05E-02,-1.80E-03
19.154,-8.94E-02,9.26E-04,-3.48E-02,-1.81E-03
19.204,-0.101,2.03E-03,-3.81E-02,-1.68E-03
19.255,-0.111,2.97E-03,-4.07E-02,-1.69E-03
19.305,-0.118,3.60E-03,-4.23E-02,-1.79E-03
19.356,-0.123,4.32E-03,-4.27E-02,-1.72E-03
19.406,-0.124,4.46E-03,-4.28E-02,-1.79E-03
19.456,-0.123,4.45E-03,-4.20E-02,-1.85E-03
19.507,-0.118,3.85E-03,-3.99E-02,-1.65E-03
19.557,-0.111,3.11E-03,-3.64E-02,-1.73E-03
19.608,-0.101,2.02E-03,-3.26E-02,-1.91E-03
19.658,-8.83E-02,8.73E-04,-2.81E-02,-1.84E-03
19.708,-7.46E-02,-4.32E-04,-2.30E-02,-1.79E-03
19.759,-5.77E-02,-9.62E-04,-1.73E-02,-1.81E-03
19.809,-4.02E-02,-1.90E-03,-1.11E-02,-1.84E-03
19.86,-2.15E-02,-2.27E-03,-4.89E-03,-1.66E-03
19.91,-3.06E-03,-2.55E-03,1.34E-03,-1.55E-03
19.96,1.62E-02,-2.50E-03,7.51E-03,-1.50E-03
20.011,3.57E-02,-1.86E-03,1.39E-02,-1.42E-03
20.061,5.35E-02,-1.25E-03,1.95E-02,-1.17E-03
20.112,6.97E-02,-2.04E-04,2.48E-02,-1.19E-03
20.162,8.48E-02,9.77E-04,2.96E-02,-9.49E-04
20.212,9.78E-02,1.92E-03,3.34E-02,-7.67E-04
20.263,0.108,3.02E-03,3.68E-02,-5.06E-04
20.313,0.116,3.60E-03,3.93E-02,-4.10E-04
20.364,0.12,3.79E-03,4.08E-02,-4.18E-04
20.414,0.122,3.82E-03,4.14E-02,-2.08E-04
20.465,0.121,4.11E-03,4.14E-02,-5.15E-04
20.515,0.117,3.68E-03,4.07E-02,-4.50E-04
20.565,0.111,2.95E-03,3.88E-02,-5.71E-04
20.616,0.1,2.05E-03,3.58E-02,-8.62E-04
20.666,8.83E-02,7.24E-04,3.20E-02,-8.73E-04
20.717,7.42E-02,-5.81E-04,2.75E-02,-1.03E-03
20.767,5.74E-02,-1.44E-03,2.26E-02,-1.21E-03
